country_id,country_name,best_total
700,Afghanistan,315171
339,Albania,6
615,Algeria,21229
540,Angola,33281
160,Argentina,86
371,Armenia,216
900,Australia,2
305,Austria,4
373,Azerbaijan,13860
692,Bahrain,26
771,Bangladesh,1373
211,Belgium,38
434,Benin,1
760,Bhutan,4
145,Bolivia,53
346,Bosnia and Herzegovina,53840
571,Botswana,1
140,Brazil,12101
439,Burkina Faso,4133
516,Burundi,20918
811,Cambodia,5071
471,Cameroon,7025
20,Canada,93
482,Central African Rep.,14178
483,Chad,11004
710,China,2925
100,Colombia,33755
581,Comoros,125
484,Congo,15665
344,Croatia,1478
522,Djibouti,455
490,Dem. Rep. Congo,123421
130,Ecuador,357
651,Egypt,5829
92,El Salvador,5865
531,Eritrea,19936
530,Ethiopia,196259
220,France,249
420,Gambia,10
372,Georgia,3431
260,Germany,20
452,Ghana,2434
90,Guatemala,2801
438,Guinea,1148
404,Guinea-Bissau,706
110,Guyana,29
41,Haiti,1053
91,Honduras,246
750,India,58429
850,Indonesia,8264
630,Iran,2246
645,Iraq,125775
666,Israel,9264
325,Italy,0
437,C̫te d'Ivoire,3599
51,Jamaica,144
663,Jordan,98
501,Kenya,6201
572,eSwatini,52
690,Kuwait,1816
703,Kyrgyzstan,279
812,Laos,385
660,Lebanon,5994
570,Lesotho,78
450,Liberia,23247
620,Libya,13985
343,North Macedonia,81
580,Madagascar,234
820,Malaysia,71
432,Mali,9954
338,Malta,0
435,Mauritania,189
70,Mexico,80277
359,Moldova,585
600,Morocco,268
541,Mozambique,9297
775,Myanmar,22302
565,Namibia,74
790,Nepal,12355
210,Netherlands,2
93,Nicaragua,565
436,Niger,4623
475,Nigeria,63468
770,Pakistan,43225
95,Panama,920
910,Papua New Guinea,650
150,Paraguay,150
135,Peru,7793
840,Philippines,20511
694,Qatar,0
360,Romania,448
365,Russia,25601
517,Rwanda,559877
670,Saudi Arabia,552
433,Senegal,2195
345,Serbia,8793
451,Sierra Leone,20443
940,Solomon Islands,2
520,Somalia,54713
560,South Africa,5107
626,S. Sudan,13579
230,Spain,416
780,Sri Lanka,65628
625,Sudan,97047
380,Sweden,5
652,Syria,405740
702,Tajikistan,9364
510,Tanzania,138
800,Thailand,4291
461,Togo,562
52,Trinidad and Tobago,39
616,Tunisia,425
640,Turkey,30555
500,Uganda,17040
369,Ukraine,7882
696,United Arab Emirates,1
200,United Kingdom,334
2,United States of America,3010
704,Uzbekistan,400
101,Venezuela,1460
678,Yemen,55794
551,Zambia,55
552,Zimbabwe,307
